Id  |Desc                        |Token |X  |Y  |Yoff |Xoff |Xs |Ys |Act |Len |Top  |Wth |Hht |OnMap 
49  |RogueTorch                  |T2    |1  |2  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
50  |CasketR                     |C1    |5  |3  |9    |0    |0  |0  |1   |0   |0    |0   |0   |0     
51  |CasketL                     |C2    |3  |5  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
52  |Urn #3                      |U3    |1  |1  |0    |0    |1  |1  |2   |0   |0    |0   |0   |0     
53  |Casket                      |C4    |5  |3  |4    |0    |5  |5  |1   |0   |0    |0   |0   |0     
54  |Rogue Corpse 1              |Z1    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
55  |Rogue Corpse 2              |Z2    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
56  |Rolling Rogue Corpse        |Z5    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
57  |Rogue On A Stick 1          |Z3    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
58  |Rogue On A Stick 2          |Z4    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
59  |Town Portal                 |TP    |4  |4  |0    |0    |0  |0  |15  |-40 |-100 |80  |110 |0     
60  |Permanent Town Portal       |PP    |1  |1  |0    |0    |0  |0  |15  |-40 |-100 |80  |110 |0     
61  |Invis Object                |SS    |5  |5  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
62  |Door Cathedral L            |D9    |1  |4  |1    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
63  |Door Cathedral R            |DA    |4  |1  |1    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
64  |Door Wooden L #2            |DB    |1  |4  |4    |-1   |0  |0  |1   |-20 |-80  |40  |40  |0     
65  |Invis River Sound1          |X1    |0  |32 |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
66  |Invis River Sound2          |X2    |32 |0  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
67  |Ripple                      |1R    |1  |1  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
68  |Ripple                      |2R    |1  |1  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
69  |Ripple                      |3R    |1  |1  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
70  |Ripple                      |4R    |1  |1  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
71  |Forest Night Sound #1       |F1    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
72  |Forest Night Sound #2       |F2    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
73  |Yeti Dung                   |YD    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
74  |Trap Door                   |TD    |3  |3  |0    |0    |0  |0  |2   |0   |0    |0   |0   |223   
75  |Door By Dock                |DD    |1  |3  |0    |0    |0  |0  |2   |-20 |-80  |40  |40  |0     
76  |Sewer Drip                  |SZ    |5  |5  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
77  |Healthorama                 |SH    |3  |3  |0    |0    |0  |0  |1   |1   |84   |0   |0   |310   
78  |Invis Town Sound            |TA    |0  |0  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
79  |Casket #3                   |C3    |4  |6  |-4   |0    |6  |8  |1   |0   |0    |0   |0   |0     
80  |Obelisk                     |OB    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
81  |Forest Altar                |AF    |3  |3  |0    |0    |0  |0  |1   |3   |84   |0   |0   |310   
82  |Pool Of Blood               |B2    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
83  |Shrine                      |HS    |3  |3  |0    |-20  |0  |0  |1   |3   |84   |0   |0   |310   
84  |HealingWell                 |HW    |3  |3  |0    |0    |0  |0  |1   |1   |84   |0   |0   |310   
85  |HealthShrine                |BC    |3  |3  |0    |0    |0  |0  |2   |1   |85   |0   |0   |310   
86  |Shrine                      |SG    |3  |3  |0    |0    |0  |0  |2   |3   |85   |0   |0   |310   
87  |Tombchest 1 Large L         |CA    |1  |3  |0    |0    |0  |0  |2   |20  |0    |0   |0   |0     
88  |Tombchest 2 Large R         |CB    |3  |1  |0    |0    |0  |0  |2   |20  |0    |0   |0   |0     
89  |Mummy CoffinL Tomb          |MC    |3  |5  |0    |0    |5  |5  |2   |0   |0    |0   |0   |0     
90  |Desert Obelisk              |DO    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
91  |Tomb Door L                 |TL    |1  |7  |-8   |-11  |0  |0  |2   |-20 |-80  |40  |40  |0     
92  |Tomb Door R                 |TR    |7  |1  |2    |18   |0  |0  |2   |-20 |-80  |40  |40  |0     
93  |ManaShrine                  |iz    |3  |3  |0    |0    |0  |0  |8   |2   |0    |0   |0   |310   
94  |Urn #4                      |U4    |1  |1  |0    |0    |1  |1  |2   |0   |0    |0   |0   |0     
95  |Urn #5                      |U5    |1  |1  |0    |0    |1  |1  |2   |0   |0    |0   |0   |0     
96  |HealthShrine                |iy    |3  |3  |0    |0    |0  |0  |8   |1   |96   |0   |0   |310   
97  |MagicShrine                 |ix    |4  |4  |0    |0    |0  |0  |8   |3   |0    |0   |0   |310   
98  |Tomb Door L 2               |TS    |1  |7  |0    |0    |0  |0  |2   |-20 |-80  |40  |40  |0     
99  |Tomb Door R 2               |TU    |7  |1  |0    |0    |0  |0  |2   |-20 |-80  |40  |40  |0     
100 |Portal To Duriel            |SJ    |1  |3  |-38  |-14  |0  |0  |2   |-40 |-80  |80  |80  |0     
101 |Brazier3                    |B3    |1  |1  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
102 |Floor Brazier               |FB    |1  |1  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
103 |Flies                       |FL    |1  |1  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
104 |Armor Stand 1R              |A3    |2  |1  |0    |0    |0  |0  |7   |0   |0    |0   |0   |0     
105 |Armor Stand 2L              |A4    |1  |2  |0    |0    |0  |0  |7   |0   |0    |0   |0   |0     
106 |Weapon Rack 1R              |W1    |2  |1  |0    |0    |0  |0  |7   |0   |0    |0   |0   |0     
107 |Weapon Rack 2L              |W2    |1  |2  |0    |0    |0  |0  |7   |0   |0    |0   |0   |0     
108 |Malus                       |HM    |2  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |316   
109 |Shrine HealthR              |P2    |3  |3  |0    |0    |0  |0  |2   |1   |109  |0   |0   |310   
110 |Drinker                     |n5    |0  |0  |-10  |-35  |0  |0  |0   |0   |0    |0   |0   |0     
111 |Fountain 1                  |F3    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |309   
112 |Gesturer                    |n6    |0  |0  |10   |0    |0  |0  |0   |0   |0    |0   |0   |0     
113 |Fountain 2 Well             |F4    |3  |3  |0    |0    |0  |0  |2   |0   |0    |0   |0   |309   
114 |Turner                      |n7    |0  |0  |-5   |-5   |0  |0  |0   |0   |0    |0   |0   |0     
115 |Fountain 3                  |F5    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |309   
116 |Snakewoman Shrine           |SN    |3  |3  |0    |0    |0  |0  |2   |3   |109  |0   |0   |310   
117 |Jungle Torch                |JT    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
118 |Fountain 4                  |F6    |3  |3  |0    |0    |0  |0  |5   |0   |0    |0   |0   |309   
119 |Waypoint Portal             |wp    |5  |5  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
120 |Healthshrine Dungeun        |dj    |3  |3  |0    |0    |0  |0  |1   |1   |120  |0   |0   |310   
121 |Placeholder #1              |ss    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
122 |Placeholder #2              |ss    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
123 |Innershrinehell2            |iw    |3  |3  |0    |0    |0  |0  |8   |3   |96   |0   |0   |310   
124 |Innershrinehell3            |iv    |4  |3  |0    |0    |0  |0  |8   |3   |96   |0   |0   |310   
125 |Ihobject3 Inner Hell        |iu    |1  |1  |0    |0    |0  |0  |8   |18  |0    |0   |0   |0     
126 |Skullpile Inner Hell        |is    |1  |1  |0    |0    |0  |0  |8   |18  |0    |0   |0   |0     
127 |Ihobject5 Inner Hell        |ir    |4  |4  |0    |0    |0  |0  |8   |18  |0    |0   |0   |0     
128 |Hobject4 Inner Hell         |hg    |1  |1  |0    |0    |0  |0  |8   |18  |0    |0   |0   |0     
129 |Secret Door 1               |h2    |1  |5  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
130 |Pool Wilderness             |zw    |3  |3  |0    |0    |0  |0  |1   |750 |128  |1   |3   |309   
131 |Vile Dog Afterglow          |9b    |0  |0  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
132 |Cathedralwell Inside        |zc    |3  |3  |0    |0    |0  |0  |3   |750 |128  |1   |3   |309   
133 |Shrine                      |xx    |3  |3  |0    |0    |0  |0  |1   |3   |85   |0   |0   |310   
134 |Shrine                      |zs    |3  |4  |0    |0    |0  |0  |2   |3   |85   |0   |0   |310   
135 |Shrine                      |zr    |2  |2  |0    |0    |0  |0  |2   |3   |85   |0   |0   |310   
136 |Shrine                      |zd    |6  |3  |0    |0    |0  |0  |2   |3   |85   |0   |0   |310   
137 |Desertwell Well Desert Tomb |zl    |3  |3  |0    |0    |0  |0  |2   |750 |128  |1   |3   |309   
138 |Cavewell Caves              |zy    |4  |4  |0    |0    |0  |0  |1   |750 |128  |1   |3   |309   
139 |Chest Large R               |q1    |3  |2  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
140 |Chest Tall R                |q2    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
141 |Chest Med R                 |q3    |3  |2  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
142 |Jug1 Desert                 |q4    |1  |1  |0    |0    |0  |0  |2   |18  |0    |0   |0   |0     
143 |Jug2 Desert                 |q5    |1  |1  |0    |0    |0  |0  |2   |18  |0    |0   |0   |0     
144 |Chest1 L                    |q6    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
145 |Waypointi Inner Hell        |wi    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
146 |Chest2 R Chest Med L        |q9    |3  |1  |0    |0    |0  |0  |3   |18  |0    |0   |0   |0     
147 |Chest R Chest Large R       |q7    |3  |1  |0    |0    |0  |0  |3   |18  |0    |0   |0   |0     
148 |Chest L Tomb Chest L Large  |q8    |2  |2  |0    |0    |0  |0  |3   |18  |0    |0   |0   |0     
149 |Sun Altar Quest             |za    |4  |2  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
150 |Shrine1                     |zv    |5  |5  |0    |0    |0  |0  |2   |3   |85   |0   |0   |310   
151 |Shrine4                     |ze    |5  |4  |0    |0    |0  |0  |2   |3   |85   |0   |0   |310   
152 |Holder For Horadric Staff   |HA    |3  |3  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
153 |Tyrael's Door               |DX    |1  |5  |-18  |-8   |0  |0  |2   |-20 |-80  |40  |40  |0     
154 |Guard Corpse                |GC    |3  |3  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
155 |Rock Wilderness             |c7    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
156 |Waypoint                    |wm    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |0     
157 |WildernessWaypoint          |wn    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
158 |Corpse                      |cp    |3  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
159 |Rockb Wilderness            |cq    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
160 |Fire Small                  |FX    |0  |0  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
161 |Fire Medium                 |FY    |0  |0  |0    |0    |0  |0  |15  |0   |0    |0   |0   |0     
162 |Fire Large                  |FZ    |0  |0  |0    |0    |0  |0  |15  |1   |0    |0   |0   |0     
163 |Cliff Wilderness            |cf    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
164 |Mana Well1                  |MB    |3  |3  |0    |0    |0  |0  |1   |2   |85   |0   |0   |310   
165 |Mana Well2                  |MD    |3  |3  |0    |0    |0  |0  |1   |2   |77   |0   |0   |310   
166 |Mana Well3 Tomb             |MF    |3  |3  |0    |0    |0  |0  |2   |2   |85   |0   |0   |310   
167 |Mana Well4 Harom            |MH    |3  |3  |0    |0    |0  |0  |2   |2   |85   |0   |0   |310   
168 |Mana Well5                  |MJ    |3  |3  |0    |0    |0  |0  |8   |2   |85   |0   |0   |310   
169 |Log                         |cz    |5  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
170 |Jungle Healwell             |JH    |3  |3  |0    |0    |0  |0  |4   |1   |170  |0   |0   |310   
171 |Corpseb                     |sx    |3  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
172 |Health Well/shrine Desert   |Mk    |2  |2  |0    |0    |0  |0  |2   |1   |172  |0   |0   |310   
173 |Mana Well/shrine Desert     |Mi    |2  |2  |0    |0    |0  |0  |2   |2   |172  |0   |0   |310   
174 |Rockc Wilderness            |RY    |1  |1  |0    |0    |0  |0  |1   |-18 |-20  |36  |30  |0     
175 |Rockd Wilderness            |RZ    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
176 |Chest-L-med                 |c8    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
177 |Chest-L-large               |c9    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
178 |Guard On A Stick            |GS    |1  |1  |0    |0    |0  |0  |3   |0   |0    |0   |0   |0     
179 |Bookshelf1                  |b4    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
180 |Bookshelf2                  |b5    |1  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
181 |Jungle Chest                |JC    |3  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
182 |Tombcoffin                  |tm    |1  |1  |0    |0    |0  |0  |2   |18  |0    |0   |0   |0     
183 |Chest-L-med Jungle          |jz    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
184 |Jungle Shrine2              |jy    |3  |3  |0    |0    |0  |0  |4   |3   |184  |0   |0   |310   
185 |Jungle Object Act3          |jx    |2  |2  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
186 |Jungle Object Act3          |jw    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
187 |Jungle Object Act3          |jv    |2  |2  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
188 |Jungle Object Act3          |ju    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
189 |Cain Portal                 |tP    |0  |0  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
190 |Jungle Shrine3              |js    |3  |4  |0    |0    |0  |0  |4   |3   |184  |0   |0   |310   
191 |Jungle Shrine4              |jr    |3  |3  |0    |0    |0  |0  |4   |3   |184  |0   |0   |310   
192 |Tele Pad                    |7h    |1  |1  |0    |0    |0  |0  |2   |-30 |-80  |60  |80  |0     
193 |Lam Esen's Tome             |ab    |1  |1  |0    |0    |0  |0  |2   |0   |0    |0   |0   |427   
194 |Stairsl                     |sl    |6  |10 |0    |0    |0  |0  |15  |0   |0    |0   |0   |694   
195 |Stairsr                     |sv    |10 |6  |0    |0    |0  |0  |15  |0   |0    |0   |0   |693   
196 |Test Data Floortrap         |a5    |1  |1  |-18  |2    |0  |0  |15  |0   |0    |0   |0   |0     
197 |Jungleshrine                |jq    |3  |3  |0    |0    |0  |0  |4   |3   |184  |0   |0   |310   
198 |Chest General L             |c0    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
199 |Mafistoshrine               |mz    |3  |4  |0    |0    |0  |0  |4   |3   |206  |0   |0   |310   
200 |Mafistoshrine               |my    |5  |3  |0    |0    |0  |0  |4   |3   |206  |0   |0   |310   
201 |Mafistoshrine               |mx    |4  |4  |0    |0    |0  |0  |4   |3   |206  |0   |0   |310   
202 |Mafistomana                 |mw    |3  |4  |0    |0    |0  |0  |4   |2   |206  |0   |0   |310   
203 |Mafistolair                 |mv    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
204 |Box                         |mu    |1  |3  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
205 |Altar                       |mt    |2  |2  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
206 |Mafistohealth               |mr    |3  |4  |0    |0    |0  |0  |1   |1   |206  |0   |0   |310   
207 |Water Rocks In Wrok         |rw    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
208 |Basket 1                    |bd    |1  |1  |0    |0    |1  |1  |4   |0   |0    |0   |0   |0     
209 |Basket 2                    |bj    |1  |1  |0    |0    |1  |1  |4   |0   |0    |0   |0   |0     
210 |Water Logs In Ne Logw       |lw    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
211 |Water Rocks Girl In Wrob    |wb    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
212 |Bubbles In Act3 Water       |yb    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
213 |Water Logs In Logx          |wd    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
214 |Water Rocks In Rokb         |wc    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
215 |Water Rocks Girl In Watc    |we    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
216 |Water Rocks In Waty         |wy    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
217 |Water Logs In Logz          |lx    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
218 |Web Covered Tree 1          |w3    |3  |9  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
219 |Web Covered Tree 2          |w4    |9  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
220 |Web Covered Tree 3          |w5    |3  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
221 |Web Covered Tree 4          |w6    |3  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
222 |Hobject1                    |70    |2  |2  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
223 |Cacoon                      |CN    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
224 |Cacoon 2                    |CC    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
225 |Hobject1                    |ib    |1  |1  |0    |0    |0  |0  |4   |18  |0    |0   |0   |0     
226 |Outershrinehell             |ia    |3  |4  |0    |0    |0  |0  |8   |3   |96   |0   |0   |310   
227 |Water Rock Girl Nw Blgb     |QX    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
228 |Big Log Sw Blga             |qw    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
229 |Slimedoor1                  |SQ    |7  |1  |5    |20   |0  |0  |2   |0   |0    |0   |0   |0     
230 |Slimedoor2                  |SY    |1  |7  |3    |-23  |0  |0  |2   |0   |0    |0   |0   |0     
231 |Outershrinehell2            |ht    |3  |4  |0    |0    |0  |0  |8   |3   |96   |0   |0   |310   
232 |Outershrinehell3            |hq    |4  |4  |0    |0    |0  |0  |8   |3   |96   |0   |0   |310   
233 |Hobject2                    |hv    |3  |3  |0    |0    |0  |0  |8   |18  |0    |0   |0   |0     
234 |Big Log Se Blgc             |Qy    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
235 |Big Log Nw Blgd             |Qz    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
236 |Health Wellforhell          |ho    |3  |3  |0    |0    |0  |0  |8   |18  |0    |0   |0   |310   
237 |Act3Waypoint Town           |wz    |1  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
238 |Waypointh                   |wv    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
239 |Burning Town                |bz    |3  |3  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
240 |Chest1 L                    |cy    |1  |3  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
241 |Chest2 R                    |cx    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
242 |Chest3 R                    |cu    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
243 |Chest3 L                    |cd    |1  |1  |0    |0    |0  |0  |15  |18  |0    |0   |0   |0     
244 |Sewers                      |rn    |1  |1  |0    |0    |0  |0  |3   |18  |0    |0   |0   |0     
245 |Burning Town                |by    |1  |1  |0    |0    |0  |0  |1   |1   |0    |0   |0   |0     
246 |Sewers                      |ra    |1  |1  |0    |0    |0  |0  |3   |18  |0    |0   |0   |0     
247 |Bed                         |qa    |4  |2  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
248 |Bed                         |qb    |2  |4  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
249 |HellManaWell                |hn    |3  |3  |0    |0    |0  |0  |8   |2   |96   |0   |0   |310   
250 |Exploding Cow / Rare        |ew    |3  |1  |0    |0    |0  |0  |5   |18  |0    |0   |0   |0     
251 |Gidbinn Altar               |ga    |3  |1  |0    |0    |0  |0  |4   |0   |0    |0   |0   |0     
252 |Gidbinn Decoy               |gd    |3  |3  |0    |0    |0  |0  |4   |0   |0    |0   |0   |315   
253 |Diablo R Light              |11    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
254 |Diablo L Light              |12    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
255 |Diablo Start Point          |ss    |0  |0  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
256 |Stool For Cabin             |s9    |3  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
257 |Wood For Cabin              |wg    |3  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
258 |More Wood For Cabin         |wh    |3  |1  |0    |0    |0  |0  |1   |18  |0    |0   |0   |0     
259 |Skeleton Spawn Hell/nw      |QS    |1  |1  |0    |0    |0  |0  |8   |0   |0    |0   |0   |0     
260 |Holyshrine                  |HL    |1  |1  |0    |0    |0  |0  |1   |3   |77   |0   |0   |310   
